manager_name,cik,volatility,mdd,beta,sector_hhi,cluster_id,risk_profile,distance_or_probability
ARK Investment Management LLC,0001697748,0.37719963316991273,0.20938637004115856,1.715406495733105,0.19063054042581404,1,AGGRESSIVE,1.6395438173735941
RENAISSANCE TECHNOLOGIES LLC,0001037389,0.20373802889967466,0.13367955892813543,1.0026044943526142,0.12221510148897827,2,BALANCED,0.328851168379803
BAUPOST GROUP LLC/MA,0001061768,0.19481253107183555,0.11377466472223519,0.8738775073011286,0.22810881608769262,2,BALANCED,0.99208695621769
"Bridgewater Associates, LP",0001350694,0.23292444857818279,0.13360583419589311,1.1760990122671313,0.16889857752258755,2,BALANCED,0.8841440401445075
Berkshire Hathaway Inc,0001067983,0.19721211389580337,0.15782689083930934,0.9033439380364665,0.22270734442039208,2,BALANCED,1.2672722525177187
"Pershing Square Capital Management, L.P.",0001336528,0.22845874874885908,0.18997923627958113,1.085308080025568,0.23754484548532404,2,BALANCED,2.641200527834258
Duquesne Family Office LLC,0001536411,0.2728805440846257,0.14369429849109683,1.22703187375873,0.25258329406547314,2,BALANCED,1.6977798749414656
RAYMOND JAMES FINANCIAL INC,0000720005,0.15837447085480846,0.11088760011489218,0.8222689001840342,0.23893605359652398,0,DEFENSIVE,0.9313223518281263
ALLIANCEBERNSTEIN L.P.,0001109448,0.19068149886086116,0.11733984060842995,0.9957954629660815,0.15343458822884745,2,BALANCED,0.7573697870398185
 HARRIS ASSOCIATES L P,0000813917,0.19634499282623843,0.1394726147081119,0.9025869053667325,0.14998528722818302,2,BALANCED,0.6558549581198659
"CWM, LLC",0001535847,0.14295660952089193,0.1005586331998396,0.7409020262498286,0.4427635234293073,0,DEFENSIVE,0.37985338163980187
D.A. DAVIDSON & CO.,0001080107,0.1540113833067609,0.11063509346273526,0.7933650079286323,0.3381425084008759,0,DEFENSIVE,0.7192400894836436
Impax Asset Management Group plc,0001749768,0.20332929945564793,0.12185691532177823,1.008920695413253,0.26230689148610337,2,BALANCED,0.43327075523169445
"EXCHANGE TRADED CONCEPTS, LLC",0001457320,0.17308458494382076,0.11497440793108804,0.8935196985154442,0.14650511163560323,2,BALANCED,1.1514867671501086
PINEBRIDGE INVESTMENTS LLC,0002088548,0.19804213552201838,0.1243935854587972,1.033779365487518,0.1978744943464291,2,BALANCED,0.41699662694112616
New York Life Investment Management LLC,0001133639,0.17268059262250576,0.11432727585985991,0.9042749886816924,0.173577154293292,2,BALANCED,1.148401001182605
"Clearstead Advisors, LLC",0000842775,0.16139200778535723,0.112804842924082,0.8336552023674931,0.3865010023115802,0,DEFENSIVE,0.8242964445508918
"Blue Trust, Inc.",0001856022,0.12183584112285199,0.0860129559530417,0.6164750624174459,0.7649471349407584,0,DEFENSIVE,1.0346837309760832
"NORTHWESTERN MUTUAL INVESTMENT MANAGEMENT COMPANY, LLC",0001629649,0.17219441238529093,0.1191224792884864,0.882079810884015,0.42728616001637215,2,BALANCED,1.0814527656520012
"SIMPLEX TRADING, LLC",0001488542,0.22693145863523065,0.1281245238276154,1.1326918269547364,0.16938472661868054,2,BALANCED,0.6874074545870822
"Gates Capital Management, Inc.",0001312908,0.21534733565158673,0.1361548632898738,0.8970520011616275,0.22607360782161215,2,BALANCED,0.5305868126502407
Silvant Capital Management LLC,0001738728,0.23969501737780005,0.12632130285422305,1.2207762067752133,0.2589297105331902,2,BALANCED,1.104544025309842
"Gallagher Fiduciary Advisors, LLC",0001527781,0.1532866518402482,0.08706186845840513,0.5457450371869225,0.33110399749788233,0,DEFENSIVE,1.180150365222505
"Index Fund Advisors, Inc.",0001665097,0.17681191029644747,0.12590947550875298,0.8601723656956818,0.9368091414451175,0,DEFENSIVE,1.4211110913221827
"Aristotle Capital Boston, LLC",0001633911,0.21737562351889372,0.14261815292326274,0.984409008095297,0.14237684845482182,2,BALANCED,0.601951947504043
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",0000109380,0.16742996737808294,0.11684600798197364,0.8673425123628968,0.3410185654421222,0,DEFENSIVE,1.085796600029675
"Vantage Investment Partners, LLC",0001534561,0.1818425147681117,0.11068600538232787,0.9167840661417316,0.15972148124693958,2,BALANCED,1.1475841292309503
Hardy Reed LLC,0001761871,0.16359233957076177,0.11156083533511973,0.8456129681900766,0.5541158099558618,0,DEFENSIVE,0.7153059649515223
Parkside Financial Bank & Trust,0001455267,0.18099522162886283,0.12519280668158395,0.9190795904287936,0.2401555845128552,2,BALANCED,0.7232724069035494
Spartan Wealth Advisory Services LLC,0002075193,0.2134983629939204,0.1278224112560541,1.0526315252121592,0.22439864116352484,2,BALANCED,0.28687854081794306
Certified Advisory Corp,0001731732,0.13812107110047261,0.10001744362982168,0.7122630150873236,0.7196212798351601,0,DEFENSIVE,0.2671283162996425
"Abacus Wealth Partners, LLC",0001978011,0.15121834931830902,0.11254548712372237,0.7505537102617537,0.48415365727612486,0,DEFENSIVE,0.5400235573400903
"MONOGRAPH WEALTH ADVISORS, LLC",0001776588,0.16556815751361673,0.11910074052014441,0.8426081673060213,0.7606325158043582,0,DEFENSIVE,0.9660381463265582
"BFSG, LLC",0001706836,0.1426875563509949,0.10193888914971394,0.6948977144161279,0.2098886686186313,0,DEFENSIVE,0.8113906543867953
"Financial Synergies Wealth Advisors, Inc.",0002017868,0.17194030730104412,0.12229615481775213,0.8799644880586551,0.8677466547303629,0,DEFENSIVE,1.2502745404932054
AZZAD ASSET MANAGEMENT INC /ADV,0001121914,0.19635334770093163,0.1317285902223857,1.010666304770349,0.16700982199461792,2,BALANCED,0.32500810591686496
"Scarborough Advisors, LLC",0001815355,0.1374921432548208,0.09467090198695427,0.7094585570357816,0.8144548997311098,0,DEFENSIVE,0.5179418567761115
"Apollon Financial, LLC",0002011195,0.16523869569788271,0.10847323264844111,0.862493409241458,0.5145685173178822,0,DEFENSIVE,0.735493598015306
B & T Capital Management DBA Alpha Capital Management,0001450935,0.1708168617590986,0.11133943547848513,0.8840561731971843,0.2780652004810842,0,DEFENSIVE,1.102083403604287
WPWealth LLP,0001950118,0.11124612916949987,0.08483010690543158,0.5518940001754498,0.9424351050978906,0,DEFENSIVE,1.4125880556194912
"Tarbox Family Office, Inc.",0001599603,0.16626695271600783,0.11939303038638105,0.8467306063094797,0.7639518894713759,0,DEFENSIVE,0.9907315220768227
Waterfront Wealth Inc.,0001775210,0.1764492682724537,0.12815905763599755,0.8944622395964423,0.2337336312926094,2,BALANCED,0.8162983796738805
"WestHill Financial Advisors, Inc.",0001759641,0.1460730357559563,0.10324242319296961,0.7542125387823232,0.819013304007903,0,DEFENSIVE,0.3416007559351961
Mason & Associates Inc,0001917686,0.1689499220578228,0.1079341196168544,0.8707144755968295,0.6499890660718693,0,DEFENSIVE,0.7601344991648651
ROWLANDMILLER & PARTNERS.ADV,0000225816,0.15721942361507887,0.11744756247584476,0.7722397036626744,0.1312697183738025,0,DEFENSIVE,1.1762147132369654
"Scott Capital Advisors, LLC",0001905673,0.12977165393121576,0.09391315309825288,0.6707994360271999,0.9370582845750641,0,DEFENSIVE,0.7935066669744929
Crumly & Associates Inc.,0001759578,0.15607545368448253,0.1097375346655185,0.8005171541588036,0.7173802013575811,0,DEFENSIVE,0.4827764526899351
"PRUDENT INVESTORS NETWORK, INC.",0001766005,0.09839370573311025,0.07311556548238152,0.4956604288387502,0.7870251573561619,0,DEFENSIVE,1.9065438769740066
"Generali Investments, Management Co LLC",0002043136,0.2119248087201728,0.1258695691807471,1.0943231163073865,0.21794061367769127,2,BALANCED,0.4495360513753121
SECTOR GAMMA AS,0001475373,0.21219510727074534,0.13228374678077592,0.6533770578332755,0.9753649571085432,2,BALANCED,1.915904109980066
"Fairvoy Private Wealth, LLC",0002046607,0.1414416542136021,0.09872798310093633,0.7309843407459171,0.341046967325399,0,DEFENSIVE,0.5836923127825202
Kelly Financial Services LLC,0002023336,0.12491791973026703,0.0852905761516104,0.6387131201028245,0.8644306671058901,0,DEFENSIVE,1.047838287266759
Sequent Planning LLC,0002009724,0.11462014295156962,0.08107462063006665,0.5931039355779207,0.7812465502457177,0,DEFENSIVE,1.312854515246739
"G2 CAPITAL MANAGEMENT, LLC / OH",0001910858,0.14896588974501335,0.10512224843679918,0.7758383034024672,0.8218614787985343,0,DEFENSIVE,0.3957292425837856
Tillman Hartley LLC,0001966355,0.12715359597443873,0.0936985134462952,0.6310165316979336,0.9172867995828895,0,DEFENSIVE,0.8645288966647159
"Cadent Capital Advisors, LLC",0001803536,0.1753001426883453,0.12146085296581732,0.8925429601133058,0.47258934023291593,2,BALANCED,0.993389633172618
"Veery Capital, LLC",0001844375,0.14960160155119934,0.1046157612768468,0.7680246390708564,0.796854277063286,0,DEFENSIVE,0.3394627794031913
"FLYNN ZITO CAPITAL MANAGEMENT, LLC",0001857144,0.15950306829440042,0.11157956123251178,0.8296914879155318,0.47688456823118924,0,DEFENSIVE,0.6859804191499991
"Pegasus Asset Management, Inc.",0001729049,0.19132112049747554,0.12730392242904764,0.9932966412984293,0.1398881880559264,2,BALANCED,0.4758982827550134
Prodigy Asset Management LLC,0001956244,0.09946378160946599,0.06921462411268586,0.5050589866172472,0.9512307928490743,0,DEFENSIVE,1.9783437886736872
Windward Private Wealth Management Inc.,0001835866,0.10153432057681139,0.07235438227451507,0.5041716442670402,0.9021101906749718,0,DEFENSIVE,1.932906579426241
BEACON INVESTMENT ADVISORS LLC,0001961635,0.17817148044717743,0.12571632378058362,0.8850014318986308,0.1464539585248543,2,BALANCED,0.8696862034137199
"PING CAPITAL MANAGEMENT, INC.",0001804352,0.4775032072894054,0.32384936153484134,1.1453060321511421,0.21212556661378792,1,AGGRESSIVE,1.9059249117852746
"Palisades Investment Partners, LLC",0001427373,0.2836304748201926,0.12086630907721785,1.2281849561124623,0.24362146770302412,2,BALANCED,1.8598282737085075
AXS Investments LLC,0001801467,0.18329726986061246,0.10402282391833062,0.9336693930168694,0.3578798996063744,0,DEFENSIVE,1.226204570398683
Montz Harcus Wealth Management LLC,0001918613,0.18268114559221435,0.12415877714912116,0.9468713804489887,0.41098898394960665,2,BALANCED,0.7006449834405154
Investors Towarzystwo Funduszy Inwestycyjnych Spolka Akcyjna,0002079571,0.25376764870038016,0.1368117373303287,1.2831150475268687,0.2432870947267237,2,BALANCED,1.481272740551102
Pilgrim Partners Asia Pte Ltd,0002012674,0.23529766169505648,0.17829142955692623,1.007405487948887,0.5876313513031886,2,BALANCED,2.217726856155549
Robbins Farley,0001847820,0.16532842115951515,0.10457851982580979,0.8442122043079061,0.12748789623910936,0,DEFENSIVE,1.1167672419561891
"DIXON FNANCIAL SERVICES, INC.",0001909993,0.17589501024152618,0.12916856347917027,0.8840615733379342,0.7874119730583726,2,BALANCED,1.2482898251741776
"Meritas Wealth Management, LLC",0001990690,0.1677558359133822,0.1250551869957297,0.8306278763546059,0.7767849346182947,0,DEFENSIVE,1.1829175134758598
Higgins & Schmidt Wealth Strategies LLC,0001941260,0.15670257679622035,0.11009543545103861,0.7985509716267271,0.9089946408108044,0,DEFENSIVE,0.6860048174843647
Notis-McConarty Edward,0001592616,0.1879863742162396,0.11775933091401136,0.969940181853802,0.19553577320601204,2,BALANCED,0.7641052381491805
"BRIGHT FINANCIAL ADVISORS, INC.",0002022456,0.1302803191139068,0.08969488279603988,0.6280204635377209,0.7329001658090953,0,DEFENSIVE,0.8044460844466199
"Sterling Group Wealth Management, LLC",0001852307,0.1603487073323042,0.10881916703900651,0.8359471382191097,0.40801331379081573,0,DEFENSIVE,0.7140925105440834
tru Independence LLC,0001785445,0.1496570261150414,0.10776468730263589,0.7717450678406303,0.7421906867166018,0,DEFENSIVE,0.3411179041617793
"Three Cord True Wealth Management, LLC",0002056001,0.1510148865814725,0.10787346259537,0.768487663739388,0.968656520159537,0,DEFENSIVE,0.671925794873378
"Delos Wealth Advisors, LLC",0001878326,0.11567265547678558,0.0845262150571453,0.5543754082052762,0.5289946815652754,0,DEFENSIVE,1.267669222688882
"GS Investments, Inc.",0001714590,0.17640968919215783,0.11187240568123646,0.9159789617709083,0.12269883108810173,2,BALANCED,1.1818500401408798
Alpha Financial Partners LLC,0001966219,0.14277961151718982,0.09937599362036686,0.7416315924737273,0.6808157000534424,0,DEFENSIVE,0.17716312790460545
"Longview Financial Advisors, Inc.",0001786915,0.1373626745928259,0.10821495830174588,0.6450950426878064,0.9059384869559982,0,DEFENSIVE,0.685624804656608
Hidden Lake Asset Management LP,0001750312,0.38256504301730176,0.20515498119366715,1.7077326781136644,0.4842149209540937,1,AGGRESSIVE,1.8402681085421746
S. R. Schill & Associates,0001616004,0.1264452316905989,0.09332021751233799,0.6082167524654707,0.7323830936483203,0,DEFENSIVE,0.7909729343856087
