method,k,silhouette,calinski_harabasz,davies_bouldin,cluster_sizes,min_cluster_size,stability_ari
kmeans,2,0.49588448864301865,89.34185418394605,0.8650417214708491,"{""0"": 74, ""1"": 25}",25,0.6305692298893952
kmeans,3,0.42122742954886694,128.26414092495867,0.7273780251996348,"{""0"": 54, ""1"": 4, ""2"": 41}",4,0.7212880653461017
kmeans,4,0.38817783225427466,143.63484444571392,0.7805948749208916,"{""0"": 24, ""1"": 4, ""2"": 28, ""3"": 43}",4,0.8733039252526509
kmeans,5,0.3466714078487361,131.7692551143937,0.8419586694882388,"{""0"": 37, ""1"": 4, ""2"": 28, ""3"": 14, ""4"": 16}",4,0.5586191842663557
kmeans,6,0.3623278846350882,131.70916286209425,0.7022709035781595,"{""0"": 30, ""1"": 14, ""2"": 17, ""3"": 2, ""4"": 34, ""5"": 2}",2,0.6426113005587974
gmm,2,0.3901125941434585,57.86079756861217,1.0554837047308776,"{""0"": 67, ""1"": 32}",32,0.5366101248102486
gmm,3,0.3561123849060498,91.63185081598229,0.8954265913306246,"{""0"": 30, ""1"": 65, ""2"": 4}",4,0.8495920953635563
gmm,4,0.3987386358536036,84.25217991750391,0.579765753953359,"{""0"": 58, ""1"": 2, ""2"": 37, ""3"": 2}",2,0.5177550026997312
gmm,5,0.08771456193531636,57.35435649269821,1.2843823708593691,"{""0"": 4, ""1"": 4, ""2"": 30, ""3"": 57, ""4"": 4}",4,0.6246128606982264
gmm,6,0.08158048880741403,40.995471475902754,1.5977290786541245,"{""0"": 53, ""1"": 13, ""2"": 2, ""3"": 25, ""4"": 4, ""5"": 2}",2,0.5164706343883789
