manager_name,cik,accession_number,report_period,portfolio_value,position_count,mapping_coverage,price_history_coverage,volatility,mdd,beta,sector_hhi,unknown_sector_weight,n_sectors
ARK Investment Management LLC,0001697748,0001104659-26-059240,31-MAR-2026,11814550261,128,0.9187855291314787,0.9371843820031128,0.37719963316991273,0.20938637004115856,1.715406495733105,0.19063054042581404,0.013432189860843588,11
RENAISSANCE TECHNOLOGIES LLC,0001037389,0001037389-26-000033,31-MAR-2026,58712040320,2732,0.9183816451571574,0.9778011286629393,0.20373802889967466,0.13367955892813543,1.0026044943526142,0.12221510148897827,0.0032886859018176396,13
BAUPOST GROUP LLC/MA,0001061768,0001061768-26-000007,31-MAR-2026,4246194,16,0.8300837865417623,0.9838982863241764,0.19481253107183555,0.11377466472223519,0.8738775073011286,0.22810881608769262,0.0,8
"Bridgewater Associates, LP",0001350694,0001350694-26-000002,31-MAR-2026,21317169528,904,0.9514662057366167,0.99697579901894,0.23292444857818279,0.13360583419589311,1.1760990122671313,0.16889857752258755,0.012714515144291519,13
Berkshire Hathaway Inc,0001067983,0001193125-26-226661,31-MAR-2026,251932867355,27,0.9575711953348947,0.9999206313324263,0.19721211389580337,0.15782689083930934,0.9033439380364665,0.22270734442039208,0.0,9
"Pershing Square Capital Management, L.P.",0001336528,0001172661-26-002336,31-MAR-2026,13714299861,11,1.0,1.0,0.22845874874885908,0.18997923627958113,1.085308080025568,0.23754484548532404,0.0,6
Duquesne Family Office LLC,0001536411,0001536411-26-000004,31-MAR-2026,2625327,52,0.8938281448958386,0.961634874436594,0.2728805440846257,0.14369429849109683,1.22703187375873,0.25258329406547314,0.0,8
RAYMOND JAMES FINANCIAL INC,0000720005,0000720005-26-000052,31-MAR-2026,313410292398,4697,0.9666055296559273,0.9830689746900161,0.15837447085480846,0.11088760011489218,0.8222689001840342,0.23893605359652398,0.007037240612886888,13
ALLIANCEBERNSTEIN L.P.,0001109448,0001109448-26-000101,31-MAR-2026,296382228961,2853,0.9597407834680827,0.9647374048652045,0.19068149886086116,0.11733984060842995,0.9957954629660815,0.15343458822884745,0.0042897273777291415,13
 HARRIS ASSOCIATES L P,0000813917,0000813917-26-000038,31-MAR-2026,69178067204,139,0.9238618062917534,0.9859261826999454,0.19634499282623843,0.1394726147081119,0.9025869053667325,0.14998528722818302,0.016147912207755594,12
"CWM, LLC",0001535847,0001580642-26-003177,31-MAR-2026,37554550710,5086,0.9872922286934241,0.9786844942659148,0.14295660952089193,0.1005586331998396,0.7409020262498286,0.4427635234293073,0.026835876873397967,13
D.A. DAVIDSON & CO.,0001080107,0001080107-26-000003,31-MAR-2026,16148867173,1462,0.9790132784410318,0.9787486858165639,0.1540113833067609,0.11063509346273526,0.7933650079286323,0.3381425084008759,0.011160292998629657,13
Impax Asset Management Group plc,0001749768,0001749768-26-000002,31-MAR-2026,12425006629,267,0.8661094871060742,0.9943118476222746,0.20332929945564793,0.12185691532177823,1.008920695413253,0.26230689148610337,0.0002141048298120522,12
"EXCHANGE TRADED CONCEPTS, LLC",0001457320,0001213900-26-043721,31-MAR-2026,12558781917,1354,0.9668197221622927,0.9525752866053212,0.17308458494382076,0.11497440793108804,0.8935196985154442,0.14650511163560323,0.04249926778948984,13
PINEBRIDGE INVESTMENTS LLC,0002088548,0001628280-26-035187,31-MAR-2026,11866178799,478,1.0,0.9629802955575708,0.19804213552201838,0.1243935854587972,1.033779365487518,0.1978744943464291,0.0034496527083100656,13
New York Life Investment Management LLC,0001133639,0001133639-26-000002,31-MAR-2026,11790277134,743,0.9976107220445206,0.9701453835224159,0.17268059262250576,0.11432727585985991,0.9042749886816924,0.173577154293292,0.0028465143058239574,13
"Clearstead Advisors, LLC",0000842775,0000842775-26-000003,31-MAR-2026,10859112066,2046,0.9925218318151223,0.9840379513585913,0.16139200778535723,0.112804842924082,0.8336552023674931,0.3865010023115802,0.008978502874512776,13
"Blue Trust, Inc.",0001856022,0001856022-26-000003,31-MAR-2026,8700198901,2266,0.9957512250565993,0.9934852384819058,0.12183584112285199,0.0860129559530417,0.6164750624174459,0.7649471349407584,0.00628366639431695,13
"NORTHWESTERN MUTUAL INVESTMENT MANAGEMENT COMPANY, LLC",0001629649,0001629649-26-000002,31-MAR-2026,6592612152,854,0.9991898707862972,0.9885365351005712,0.17219441238529093,0.1191224792884864,0.882079810884015,0.42728616001637215,0.0021397736296204064,13
"SIMPLEX TRADING, LLC",0001488542,0001488542-26-000009,31-MAR-2026,3086191667,2225,0.9551496128410116,0.9897410454643678,0.22693145863523065,0.1281245238276154,1.1326918269547364,0.16938472661868054,0.0017378961786634495,13
"Gates Capital Management, Inc.",0001312908,0001172661-26-002331,31-MAR-2026,2570300567,25,0.8867441600737468,0.9411825920513054,0.21534733565158673,0.1361548632898738,0.8970520011616275,0.22607360782161215,0.0,9
Silvant Capital Management LLC,0001738728,0001738728-26-000004,31-MAR-2026,2744839720,289,0.9484539614541849,0.9882821136091692,0.23969501737780005,0.12632130285422305,1.2207762067752133,0.2589297105331902,0.002764508920342864,13
"Gallagher Fiduciary Advisors, LLC",0001527781,0001527781-26-000002,31-MAR-2026,2571945509,322,0.9985049936057814,0.9964660639316834,0.1532866518402482,0.08706186845840513,0.5457450371869225,0.33110399749788233,0.0006004885756342829,13
"Index Fund Advisors, Inc.",0001665097,0001665097-26-000004,31-MAR-2026,2221815055,123,0.9998540114130784,0.9992488704240957,0.17681191029644747,0.12590947550875298,0.8601723656956818,0.9368091414451175,0.00032889906316186973,10
"Aristotle Capital Boston, LLC",0001633911,0001398344-26-009206,31-MAR-2026,1501895731,112,0.932542411063125,0.998893181486778,0.21737562351889372,0.14261815292326274,0.984409008095297,0.14237684845482182,0.03384838707814268,13
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",0000109380,0000109380-26-000085,31-MAR-2026,1509113071,1380,0.9729306275686341,0.9924559297651196,0.16742996737808294,0.11684600798197364,0.8673425123628968,0.3410185654421222,0.007208807902968692,13
