manager_name,cik,accession_number,report_period,reported_value,position_count,mapped_value,mapping_coverage,n_unmapped_positions,unmapped_value_share
ARK Investment Management LLC,0001697748,0001104659-26-059240,31-MAR-2026,12858877166,181,11814550261,0.9187855291314787,45,0.0812144708685213
RENAISSANCE TECHNOLOGIES LLC,0001037389,0001037389-26-000033,31-MAR-2026,63929893013,3213,58712040320,0.9183816451571574,352,0.08161835484284263
BAUPOST GROUP LLC/MA,0001061768,0001061768-26-000007,31-MAR-2026,5115380,22,4246194,0.8300837865417623,5,0.1699162134582377
"Bridgewater Associates, LP",0001350694,0001350694-26-000002,31-MAR-2026,22404547213,993,21317169528,0.9514662057366167,71,0.048533794263383334
Berkshire Hathaway Inc,0001067983,0001193125-26-226661,31-MAR-2026,263095703570,29,251932867355,0.9575711953348947,1,0.042428804665105346
"Pershing Square Capital Management, L.P.",0001336528,0001172661-26-002336,31-MAR-2026,13714299861,11,13714299861,1.0,0,0.0
Duquesne Family Office LLC,0001536411,0001536411-26-000004,31-MAR-2026,2937172,65,2625327,0.8938281448958386,8,0.10617185510416138
RAYMOND JAMES FINANCIAL INC,0000720005,0000720005-26-000052,31-MAR-2026,324238050355,5172,313410292398,0.9666055296559273,714,0.033394470344072724
ALLIANCEBERNSTEIN L.P.,0001109448,0001109448-26-000101,31-MAR-2026,308814873835,3228,296382228961,0.9597407834680827,259,0.04025921653191733
 HARRIS ASSOCIATES L P,0000813917,0000813917-26-000038,31-MAR-2026,74879237060,156,69178067204,0.9238618062917534,20,0.0761381937082466
"CWM, LLC",0001535847,0001580642-26-003177,31-MAR-2026,38037928000,5645,37554550710,0.9872922286934241,322,0.012707771306575855
D.A. DAVIDSON & CO.,0001080107,0001080107-26-000003,31-MAR-2026,16495044070,1552,16148867173,0.9790132784410318,64,0.02098672155896819
Impax Asset Management Group plc,0001749768,0001749768-26-000002,31-MAR-2026,14345768998,287,12425006629,0.8661094871060742,19,0.13389051289392584
"EXCHANGE TRADED CONCEPTS, LLC",0001457320,0001213900-26-043721,31-MAR-2026,12989786647,1510,12558781917,0.9668197221622927,179,0.03318027783770727
PINEBRIDGE INVESTMENTS LLC,0002088548,0001628280-26-035187,31-MAR-2026,11866178799,489,11866178799,1.0,0,0.0
New York Life Investment Management LLC,0001133639,0001133639-26-000002,31-MAR-2026,11818514851,781,11790277134,0.9976107220445206,9,0.0023892779554793853
"Clearstead Advisors, LLC",0000842775,0000842775-26-000003,31-MAR-2026,10940930182,2232,10859112066,0.9925218318151223,123,0.007478168184877676
"Blue Trust, Inc.",0001856022,0001856022-26-000003,31-MAR-2026,8737321815,2505,8700198901,0.9957512250565993,255,0.004248774943400702
"NORTHWESTERN MUTUAL INVESTMENT MANAGEMENT COMPANY, LLC",0001629649,0001629649-26-000002,31-MAR-2026,6597957350,874,6592612152,0.9991898707862972,2,0.000810129213702826
"SIMPLEX TRADING, LLC",0001488542,0001488542-26-000009,31-MAR-2026,3231108117,2613,3086191667,0.9551496128410116,251,0.04485038715898837
"Gates Capital Management, Inc.",0001312908,0001172661-26-002331,31-MAR-2026,2898581894,31,2570300567,0.8867441600737468,3,0.11325583992625321
Silvant Capital Management LLC,0001738728,0001738728-26-000004,31-MAR-2026,2894014714,315,2744839720,0.9484539614541849,22,0.051546038545815076
"Gallagher Fiduciary Advisors, LLC",0001527781,0001527781-26-000002,31-MAR-2026,2575796341,340,2571945509,0.9985049936057814,8,0.0014950063942186231
"Index Fund Advisors, Inc.",0001665097,0001665097-26-000004,31-MAR-2026,2222139462,127,2221815055,0.9998540114130784,1,0.0001459885869216082
"Aristotle Capital Boston, LLC",0001633911,0001398344-26-009206,31-MAR-2026,1610538795,122,1501895731,0.932542411063125,9,0.06745758893687503
"ZIONS BANCORPORATION, NATIONAL ASSOCIATION /UT/",0000109380,0000109380-26-000085,31-MAR-2026,1551100385,1529,1509113071,0.9729306275686341,108,0.027069372431365868
"Vantage Investment Partners, LLC",0001534561,0001534561-26-000003,31-MAR-2026,1449405343,64,1381303678,0.9530140651620325,3,0.046985934837967536
Hardy Reed LLC,0001761871,0001765380-26-000128,31-MAR-2026,1370806804,243,1360224934,0.9922805533433872,13,0.007719446656612838
Parkside Financial Bank & Trust,0001455267,0001398344-26-009088,31-MAR-2026,1301572721,2684,1242825450,0.9548643959325881,260,0.045135604067411905
Spartan Wealth Advisory Services LLC,0002075193,0001765380-26-000177,31-MAR-2026,1144614802,310,1127715468,0.9852357893935396,9,0.014764210606460382
Certified Advisory Corp,0001731732,0001731732-26-000002,31-MAR-2026,1115012357,318,1114132971,0.9992113217450199,2,0.0007886782549800797
"Abacus Wealth Partners, LLC",0001978011,0001765380-26-000123,31-MAR-2026,1095303161,504,1074620676,0.9811171137485651,32,0.01888288625143486
"MONOGRAPH WEALTH ADVISORS, LLC",0001776588,0001776588-26-000002,31-MAR-2026,1054725190,144,1053502621,0.9988408648891756,4,0.0011591351108244385
"BFSG, LLC",0001706836,0001706836-26-000002,31-MAR-2026,1054331480,747,1003389125,0.9516827905015224,46,0.04831720949847762
"Financial Synergies Wealth Advisors, Inc.",0002017868,0002017868-26-000005,31-MAR-2026,1047720285,111,1045309588,0.9976991024851638,1,0.0023008975148361976
AZZAD ASSET MANAGEMENT INC /ADV,0001121914,0001121914-26-000004,31-MAR-2026,989016723,331,919483335,0.929694426410624,22,0.07030557358937595
"Scarborough Advisors, LLC",0001815355,0001815355-26-000005,31-MAR-2026,913579892,761,912744746,0.999085853347569,29,0.0009141466524309472
"Apollon Financial, LLC",0002011195,0002011195-26-000002,31-MAR-2026,723096381,260,721455955,0.9977313867928209,2,0.002268613207179082
B & T Capital Management DBA Alpha Capital Management,0001450935,0001450935-26-000005,31-MAR-2026,689892639,115,685497322,0.9936289840599386,4,0.0063710159400613975
WPWealth LLP,0001950118,0001950118-26-000002,31-MAR-2026,654247150,97,654247150,1.0,0,0.0
"Tarbox Family Office, Inc.",0001599603,0001599603-26-000003,31-MAR-2026,615760554,95,615760554,1.0,0,0.0
Waterfront Wealth Inc.,0001775210,0001775210-26-000004,31-MAR-2026,544638122,283,527688060,0.9688783041154801,10,0.03112169588451985
"WestHill Financial Advisors, Inc.",0001759641,0002085853-26-000325,31-MAR-2026,522951237,76,522159068,0.9984851952840873,1,0.0015148047159126987
Mason & Associates Inc,0001917686,0001917686-26-000002,31-MAR-2026,515005117,158,512263281,0.9946760994998036,4,0.005323900500196377
ROWLANDMILLER & PARTNERS.ADV,0000225816,0000225816-26-000002,31-MAR-2026,493276712,189,477398026,0.9678097797570464,7,0.03219022024295359
"Scott Capital Advisors, LLC",0001905673,0001905673-26-000002,31-MAR-2026,493187335,58,493187335,1.0,0,0.0
Crumly & Associates Inc.,0001759578,0001759578-26-000004,31-MAR-2026,475948297,200,472006189,0.9917173608460248,7,0.008282639153975202
"PRUDENT INVESTORS NETWORK, INC.",0001766005,0001986152-26-000081,31-MAR-2026,459225128,74,458659839,0.9987690373075578,2,0.0012309626924421613
"Generali Investments, Management Co LLC",0002043136,0002043136-26-000003,31-MAR-2026,429904597,162,429904597,1.0,0,0.0
SECTOR GAMMA AS,0001475373,0000945621-26-000644,31-MAR-2026,423489426,42,387793903,0.9157109462279703,3,0.08428905377202967
"Fairvoy Private Wealth, LLC",0002046607,0002046607-26-000002,31-MAR-2026,418958017,201,415429614,0.9915781465998298,3,0.00842185340017021
Kelly Financial Services LLC,0002023336,0001754960-26-000221,31-MAR-2026,413885776,128,413684110,0.9995127496239445,1,0.0004872503760554592
Sequent Planning LLC,0002009724,0002085853-26-000438,31-MAR-2026,413581077,242,413070813,0.9987662298195524,2,0.0012337701804475687
"G2 CAPITAL MANAGEMENT, LLC / OH",0001910858,0001951757-26-000826,31-MAR-2026,411372885,73,411372885,1.0,0,0.0
Tillman Hartley LLC,0001966355,0001966355-26-000002,31-MAR-2026,398300500,88,398300500,1.0,0,0.0
"Cadent Capital Advisors, LLC",0001803536,0001803536-26-000002,31-MAR-2026,378044759,186,375938133,0.9944275751750337,4,0.005572424824966338
"Veery Capital, LLC",0001844375,0002085853-26-000309,31-MAR-2026,326101122,96,325825069,0.9991534742404229,1,0.0008465257595771103
"FLYNN ZITO CAPITAL MANAGEMENT, LLC",0001857144,0001857144-26-000002,31-MAR-2026,313027668,158,312318367,0.9977340629199589,3,0.0022659370800410805
"Pegasus Asset Management, Inc.",0001729049,0001729049-26-000002,31-MAR-2026,312758568,67,301319566,0.9634254560213998,1,0.03657454397860016
Prodigy Asset Management LLC,0001956244,0001956244-26-000003,31-MAR-2026,299508853,28,299508853,1.0,0,0.0
Windward Private Wealth Management Inc.,0001835866,0001835866-26-000004,31-MAR-2026,289282380,44,289282380,1.0,0,0.0
BEACON INVESTMENT ADVISORS LLC,0001961635,0001172661-26-001953,31-MAR-2026,264919436,171,251649667,0.9499101719361958,8,0.05008982806380424
"PING CAPITAL MANAGEMENT, INC.",0001804352,0001804352-26-000002,31-MAR-2026,258525707,66,254171078,0.983155914935763,7,0.016844085064236958
"Palisades Investment Partners, LLC",0001427373,0001427373-26-000002,31-MAR-2026,255063744,51,242253599,0.949776691900202,3,0.050223308099798025
AXS Investments LLC,0001801467,0001801467-26-000004,31-MAR-2026,247643940,189,234837747,0.9482878805756362,14,0.05171211942436382
Montz Harcus Wealth Management LLC,0001918613,0002085853-26-000518,31-MAR-2026,247630501,93,247420697,0.9991527538039428,1,0.0008472461960572497
Investors Towarzystwo Funduszy Inwestycyjnych Spolka Akcyjna,0002079571,0002079571-26-000003,31-MAR-2026,242088620,191,233973140,0.9664772346589443,10,0.033522765341055694
Pilgrim Partners Asia Pte Ltd,0002012674,0002012674-26-000003,31-MAR-2026,237068980,117,234074348,0.9873680985171489,7,0.012631901482851093
Robbins Farley,0001847820,0001847820-26-000002,31-MAR-2026,225916357,143,215465570,0.9537404589079842,6,0.0462595410920158
"DIXON FNANCIAL SERVICES, INC.",0001909993,0001909993-26-000002,31-MAR-2026,222733474,44,222733474,1.0,0,0.0
"Meritas Wealth Management, LLC",0001990690,0001990690-26-000002,31-MAR-2026,221153005,60,221067811,0.9996147734913211,1,0.0003852265086788931
Higgins & Schmidt Wealth Strategies LLC,0001941260,0001941260-26-000002,31-MAR-2026,218918015,63,218918015,1.0,0,0.0
Notis-McConarty Edward,0001592616,0001592616-26-000002,31-MAR-2026,218917123,68,217275173,0.9924996730383672,3,0.0075003269616328305
"BRIGHT FINANCIAL ADVISORS, INC.",0002022456,0001172661-26-001920,31-MAR-2026,218243003,67,214119388,0.9811053965381882,1,0.01889460346181182
"Sterling Group Wealth Management, LLC",0001852307,0001852307-26-000003,31-MAR-2026,211415868,58,211415868,1.0,0,0.0
tru Independence LLC,0001785445,0001785445-26-000002,31-MAR-2026,202204991,102,201844851,0.9982189361488115,1,0.0017810638511884802
"Three Cord True Wealth Management, LLC",0002056001,0002085853-26-000502,31-MAR-2026,179958111,39,179958111,1.0,0,0.0
"Delos Wealth Advisors, LLC",0001878326,0001878326-26-000002,31-MAR-2026,174658895,253,173923476,0.9957893985302037,10,0.004210601469796349
