ticker,n_days,coverage,kept
0HW0,0,0.0,False
1B2,0,0.0,False
2CH,0,0.0,False
2KZ0,0,0.0,False
2RM,0,0.0,False
3IV1,0,0.0,False
430,0,0.0,False
4XC1,0,0.0,False
87M,0,0.0,False
8F1,0,0.0,False
8HH,0,0.0,False
8L8C,0,0.0,False
8TG,0,0.0,False
A,252,1.0,True
AA,252,1.0,True
AAAU,252,1.0,True
AACG,252,1.0,True
AADR,252,1.0,True
AAL,252,1.0,True
AAME,252,1.0,True
AAMI,252,1.0,True
AAOI,252,1.0,True
AAON,252,1.0,True
AAP,252,1.0,True
AAPB,252,1.0,True
AAPL,252,1.0,True
AAPR,252,1.0,True
AAPU,252,1.0,True
AAPW,252,1.0,True
AAPX,252,1.0,True
AARD,252,1.0,True
AAT,252,1.0,True
AAUC,252,1.0,True
AAUS,173,0.6865079365079365,False
AAXJ,252,1.0,True
AB,252,1.0,True
ABAT,252,1.0,True
ABBV,252,1.0,True
ABCB,252,1.0,True
ABCL,252,1.0,True
ABEO,252,1.0,True
ABEQ,252,1.0,True
ABEV,252,1.0,True
ABFL,252,1.0,True
ABG,252,1.0,True
ABLD,252,1.0,True
ABM,252,1.0,True
ABNB,252,1.0,True
ABNYUSD,0,0.0,False
ABOS,252,1.0,True
ABR,252,1.0,True
ABSI,252,1.0,True
ABT,252,1.0,True
ABUS,252,1.0,True
ABVC,252,1.0,True
ABVEF,252,1.0,True
ABVX,252,1.0,True
ABX,252,1.0,True
ABXB,252,1.0,True
ACA,252,1.0,True
ACAD,252,1.0,True
ACB,252,1.0,True
ACCO,252,1.0,True
ACCS,252,1.0,True
ACDC,252,1.0,True
ACEI,128,0.5079365079365079,False
ACEL,252,1.0,True
ACES,252,1.0,True
ACET,252,1.0,True
ACH,252,1.0,True
ACHC,252,1.0,True
ACHR,252,1.0,True
ACHV,252,1.0,True
ACI,252,1.0,True
ACIC,252,1.0,True
ACII,128,0.5079365079365079,False
ACIO,252,1.0,True
ACIW,252,1.0,True
ACLS,252,1.0,True
ACLXGBX,0,0.0,False
ACM,252,1.0,True
ACMR,252,1.0,True
ACNB,252,1.0,True
ACNT,252,1.0,True
ACOG,252,1.0,True
ACP,252,1.0,True
ACR,252,1.0,True
ACRE,252,1.0,True
ACRS,252,1.0,True
ACRV,252,1.0,True
ACSI,252,1.0,True
ACT,252,1.0,True
ACTG,252,1.0,True
ACTU,252,1.0,True
ACU,252,1.0,True
ACV,252,1.0,True
ACVA,252,1.0,True
ACVF,252,1.0,True
ACVU,252,1.0,True
ACWI,252,1.0,True
ACWV,252,1.0,True
ACWX,252,1.0,True
ACYN,24,0.09523809523809523,False
AD,252,1.0,True
ADAG,252,1.0,True
ADAM,252,1.0,True
ADBE,252,1.0,True
ADBG,252,1.0,True
ADC,252,1.0,True
ADEA,252,1.0,True
ADGM,252,1.0,True
ADI,252,1.0,True
ADM,252,1.0,True
ADMA,252,1.0,True
ADME,252,1.0,True
ADP,252,1.0,True
ADPT,252,1.0,True
ADSK,252,1.0,True
ADT,252,1.0,True
ADTN,252,1.0,True
ADUR,252,1.0,True
ADUS,252,1.0,True
ADV,252,1.0,True
ADX,252,1.0,True
AEE,252,1.0,True
AEF,252,1.0,True
AEG,252,1.0,True
AEHR,252,1.0,True
AEI,252,1.0,True
AEIS,252,1.0,True
AEM,252,1.0,True
AEO,252,1.0,True
AEP,252,1.0,True
AERO,98,0.3888888888888889,False
AES,252,1.0,True
AESI,252,1.0,True
AETH,252,1.0,True
AEVA,252,1.0,True
AEYE,252,1.0,True
AFB,252,1.0,True
AFCG,252,1.0,True
AFG,252,1.0,True
AFGR,252,1.0,True
AFK,252,1.0,True
AFL,252,1.0,True
AFLG,252,1.0,True
AFRM,252,1.0,True
AFRU,135,0.5357142857142857,False
AFSM,252,1.0,True
AG,252,1.0,True
AGCO,252,1.0,True
AGEN,252,1.0,True
AGG,252,1.0,True
AGGY,252,1.0,True
AGI,252,1.0,True
AGIO,252,1.0,True
AGIX,252,1.0,True
AGL,252,1.0,True
AGM,252,1.0,True
AGMI,252,1.0,True
AGNC,252,1.0,True
AGNG,252,1.0,True
AGNT,252,1.0,True
AGOX,252,1.0,True
AGPU,252,1.0,True
AGQ,252,1.0,True
AGQI,252,1.0,True
AGX,252,1.0,True
AGYS,252,1.0,True
AGZ,252,1.0,True
AGZD,252,1.0,True
AH30,0,0.0,False
AHCO,252,1.0,True
AHG,252,1.0,True
AHLT,252,1.0,True
AHR,252,1.0,True
AHRT,252,1.0,True
AHT,252,1.0,True
AI,252,1.0,True
AIA,252,1.0,True
AIBU,252,1.0,True
AIFC,252,1.0,True
AIFD,252,1.0,True
AIG,252,1.0,True
AII,224,0.8888888888888888,False
AIMD,252,1.0,True
AIN,252,1.0,True
AIO,252,1.0,True
AIOT,252,1.0,True
AIP,252,1.0,True
AIPO,171,0.6785714285714286,False
AIQ,252,1.0,True
AIR,252,1.0,True
AIRG,252,1.0,True
AIRJ,252,1.0,True
AIRO,199,0.7896825396825397,False
AIRR,252,1.0,True
AIRS,252,1.0,True
AIRT,252,1.0,True
AIS,252,1.0,True
AISP,252,1.0,True
AIT,252,1.0,True
AIV,252,1.0,True
AIVC,252,1.0,True
AIVI,252,1.0,True
AIVL,252,1.0,True
AIYY,252,1.0,True
AIZ,252,1.0,True
AJAN,252,1.0,True
AJG,252,1.0,True
AJUL,252,1.0,True
AKA,252,1.0,True
AKAF,191,0.7579365079365079,False
AKAM,252,1.0,True
AKBA,252,1.0,True
AKO/A,0,0.0,False
AKO/B,0,0.0,False
AKR,252,1.0,True
AKRE,106,0.42063492063492064,False
AKTS,55,0.21825396825396826,False
ALAB,252,1.0,True
ALAI,252,1.0,True
ALAR,252,1.0,True
ALB,252,1.0,True
ALCO,252,1.0,True
ALDX,252,1.0,True
ALEC,252,1.0,True
ALG,252,1.0,True
ALGM,252,1.0,True
ALGN,252,1.0,True
ALGS,252,1.0,True
ALGT,252,1.0,True
