Ticker,Sector,Industry,Profit Margin,Operating Margin (ttm),Return on Assets(ROA) (ttm),Return on Equity(ROE) (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
A,Healthcare,Diagnostics & Research,0.18259001,0.22859,0.08533,0.19945998,7064999936.0,24.921,0.07,3695000064.0,1971000064.0,1290000000.0,4.53,-0.036,1758000000.0,6.221,3550000128.0,51.39,2.066,24.436,1396000000.0,855875008.0
AAPL,Technology,Consumer Electronics,0.27152002,0.32275,0.26229,1.4147099,451442016256.0,30.534,0.166,216070995968.0,159975997440.0,122575003648.0,8.25,0.218,68507000832.0,4.664,84710998016.0,79.548,1.07,7.26,140222005248.0,101090746368.0
ABBV,Healthcare,Drug Manufacturers - General,0.05786,0.32156,0.10032,,62819000320.0,35.501,0.124,45246001152.0,29915000832.0,3595000064.0,2.04,-0.462,9390999552.0,5.315,72912003072.0,,0.796,-3.767,21223999488.0,20811624448.0
ABNB,Consumer Cyclical,Travel Services,0.19902,0.03211,0.06245,0.32325,12647000064.0,20.827,0.179,10485999616.0,2619000064.0,2516999936.0,4.05,0.06,12005000192.0,20.227,2534000128.0,33.185,1.442,12.834,4565000192.0,3191000064.0
ABT,Healthcare,Medical Devices,0.13904999,0.13472,0.0559,0.123339996,45134000128.0,25.912,0.078,25501999104.0,11744000000.0,6252000256.0,3.57,-0.197,7295000064.0,4.188,34136000512.0,64.773,1.388,29.889,9464000512.0,6341125120.0
ACGL,Financial Services,Insurance - Diversified,0.24635,0.25282,0.045679998,0.21305999,19776999424.0,54.411,-0.033,7785999872.0,5896999936.0,4832000000.0,13.0,0.946,3620999936.0,10.406,2728999936.0,11.282,0.566,65.371,5902000128.0,5276125184.0
ACN,Technology,Information Technology Services,0.10606,0.13819,0.11163,0.24763,72110325760.0,116.149,0.083,23094063104.0,12735312896.0,7648264192.0,12.21,0.04,9405595648.0,15.32,8347366912.0,25.469,1.336,50.762,13080248320.0,12164313088.0
ADBE,Technology,Software - Application,0.29477,0.38762,0.18905,0.58774,24452999168.0,58.263,0.12,21859999744.0,9516000256.0,7208000000.0,17.17,0.111,6898999808.0,17.068,6670000128.0,58.34,0.912,28.16,10506999808.0,9321374720.0
ADI,Technology,Semiconductors,0.23024,0.33067,0.0454,0.07862,11756795904.0,23.868,0.304,7388150784.0,5459077120.0,2706852096.0,5.46,1.167,4048847104.0,8.293,8701080576.0,25.753,1.756,69.207,5053907968.0,4139530752.0
ADM,Consumer Defensive,Farm Products,0.013409999,0.01274,0.01669,0.047659997,80583999488.0,166.41,0.016,5074999808.0,2539000064.0,1080999936.0,2.24,0.009,624000000.0,1.295,10657000448.0,46.128,1.311,47.311,5944000000.0,1578499968.0
ADP,Technology,Software - Application,0.20118,0.30184,0.05949,0.71208,21600399360.0,53.453,0.07,10475499520.0,6339899904.0,4345600000.0,10.71,0.105,3228400128.0,8.076,4398000128.0,69.259,1.043,15.851,5452400128.0,4749387264.0
ADSK,Technology,Software - Application,0.15597999,0.27236,0.096999995,0.39675,7206000128.0,33.831,0.194,6653000192.0,1906000000.0,1124000000.0,5.24,0.063,2596999936.0,12.308,2734000128.0,89.787,0.851,14.363,2452000000.0,2787000064.0
AEE,Utilities,Utilities - Regulated Electric,0.17834999,0.27786,0.03086,0.117469996,8544999936.0,31.401,0.037,4311000064.0,3827000064.0,1524000000.0,5.56,0.196,13000000.0,0.047,21304000512.0,155.674,0.622,48.992,3343000064.0,-1869374976.0
AEP,Utilities,Utilities - Regulated Electric,0.16289,0.23738001,0.031689998,0.12585,22432999424.0,41.797,0.102,10597999616.0,9141000192.0,3654000128.0,6.76,0.067,516000000.0,0.948,51808002048.0,157.099,0.526,58.473,7013000192.0,-6953449984.0
AES,Utilities,Utilities - Diversified,0.10819,0.18742001,0.027139999,0.052600004,12487000064.0,17.526,0.087,2409999872.0,3755000064.0,1380000000.0,1.92,9.511,1651000064.0,2.315,31804000256.0,259.603,0.73,6.198,4961999872.0,-2964999936.0
AFL,Financial Services,Insurance - Life,0.25596002,0.29567,0.03088,0.16469,18112000000.0,34.501,0.279,9064999936.0,5880000000.0,4636000256.0,8.75,38.6,8270000128.0,16.248,14464000000.0,48.276,0.935,58.686,2934000128.0,4923125248.0
AIG,Financial Services,Insurance - Diversified,0.118389994,0.18620001,0.01885,0.07723,26701000704.0,48.448,0.014,9488000000.0,8316000256.0,3160999936.0,5.68,0.216,9592999936.0,18.093,9155999744.0,22.647,0.611,75.82,3524999936.0,9517249536.0
AIZ,Financial Services,Insurance - Property & Casualty,0.076,0.106400006,0.024360001,0.18016,13160399872.0,262.183,0.113,1677299968.0,1638899968.0,991600000.0,19.5,0.912,1921500032.0,38.781,2207500032.0,37.61,0.386,118.165,1681799936.0,2029737472.0
AJG,Financial Services,Insurance Brokers,0.11354,0.28402,0.0228,0.07007,14197999616.0,55.315,0.346,6095000064.0,3960000000.0,1612000000.0,6.18,0.162,1412999936.0,5.5,13372000256.0,56.18,1.063,92.546,2015000064.0,1080225024.0
AKAM,Technology,Software - Infrastructure,0.102,0.10611,0.03393,0.091680005,4266646016.0,29.536,0.058,2486778880.0,1146972032.0,435179008.0,2.96,-0.134,930444992.0,6.4,5867704832.0,119.534,2.057,34.395,1580072960.0,700723392.0
ALB,Basic Materials,Specialty Chemicals,-0.042379998,0.24786,0.01605,-0.0182,5494582784.0,46.672,0.327,1018185984.0,1067513984.0,-399635008.0,-3.41,,1089809024.0,9.241,2005991040.0,19.845,2.068,64.597,1081304064.0,716711744.0
ALGN,Healthcare,Medical Instruments & Supplies,0.10496,0.16594,0.073309995,0.10824,4095789056.0,56.88,0.062,2873092096.0,890456000.0,429892000.0,5.95,0.239,1059833984.0,14.798,116044000.0,2.797,1.393,57.939,691588992.0,538981504.0
ALL,Financial Services,Insurance - Property & Casualty,0.17813,0.18954,0.07521,0.45221,68174000128.0,260.082,0.03,23470999552.0,14840000512.0,12026999808.0,45.21,3.384,5401999872.0,20.985,7491999744.0,23.719,0.364,114.752,11708000256.0,12428999680.0
ALLE,Industrials,Security & Protection Services,0.15237,0.18876,0.11034001,0.34179002,4159000064.0,48.332,0.097,1870300032.0,1010600000.0,633699968.0,7.33,-0.07,308900000.0,3.595,2224399872.0,105.863,1.908,24.451,780600000.0,494362496.0
AMAT,Technology,Semiconductor Equipment & Materials,0.27784002,0.29892,0.14849,0.38863,28213999616.0,35.323,-0.021,13747000320.0,8888999936.0,7839000064.0,9.75,0.752,8511000064.0,10.724,7190000128.0,33.108,2.715,27.365,8718999552.0,4341749760.0
AMCR,Consumer Cyclical,Packaging & Containers,0.030550001,0.0859,0.04079,0.08737001,22190000128.0,49.44,0.774,4248000000.0,3200999936.0,678000000.0,1.24,-0.117,1587000064.0,3.434,16762999808.0,143.74,1.443,25.211,1670000000.0,149500000.0
AMD,Technology,Semiconductors,0.13374,0.14396,0.03647,0.08063,37454000128.0,23.024,0.378,19872999424.0,7430000128.0,4931999744.0,3.0,0.912,12346999808.0,7.572,3871000064.0,6.005,2.725,39.547,9724999680.0,7173374976.0
AME,Industrials,Specialty Industrial Machinery,0.20108,0.26299,0.0801,0.14626999,7597581824.0,33.031,0.113,2786897920.0,2420284928.0,1527741056.0,6.61,0.145,481249984.0,2.1,2455633920.0,22.489,1.138,47.64,1835734016.0,1385356544.0
AMGN,Healthcare,Drug Manufacturers - General,0.20955999,0.33800998,0.08347999,1.01318,37219999744.0,69.118,0.058,26591000576.0,16917999616.0,7800000000.0,14.36,0.044,12037999616.0,22.305,57322999808.0,623.754,1.261,17.028,10755999744.0,7436624896.0
AMP,Financial Services,Asset Management,0.20165001,0.37188,0.024260001,0.66936,19316000768.0,202.474,0.09,10933000192.0,,3895000064.0,40.15,0.66,8496000000.0,94.508,3494000128.0,56.246,2.483,68.946,7096000000.0,3355624960.0
