Ticker,Sector,Sigma,MDD,Beta
A,Health Care,0.287923,-0.414542,1.007652
AAPL,Information Technology,0.267761,-0.34711,1.230503
ABBV,Health Care,0.231801,-0.213844,0.333647
ABNB,Consumer Discretionary,0.389534,-0.417343,1.439857
ABT,Health Care,0.202264,-0.212357,0.379615
ACGL,Financials,0.244619,-0.253939,0.464979
ACN,Information Technology,0.257781,-0.427094,0.91867
ADBE,Information Technology,0.343729,-0.537015,1.220627
ADI,Information Technology,0.329034,-0.350915,1.508151
ADM,Consumer Staples,0.29481,-0.592742,0.455516
ADP,Industrials,0.197317,-0.226453,0.666829
ADSK,Information Technology,0.308422,-0.269041,1.266135
AEE,Utilities,0.19343,-0.249113,0.321096
AEP,Utilities,0.199747,-0.268257,0.228283
AES,Utilities,0.40807,-0.696981,1.057042
AFL,Financials,0.207853,-0.170256,0.529345
AIG,Financials,0.234456,-0.276444,0.727396
AIZ,Financials,0.248655,-0.225879,0.649464
AJG,Financials,0.207555,-0.309931,0.441481
AKAM,Information Technology,0.325834,-0.518152,0.97648
ALB,Materials,0.557052,-0.885999,1.705538
ALGN,Health Care,0.527027,-0.773901,1.505892
ALL,Financials,0.247994,-0.287221,0.485206
ALLE,Industrials,0.248182,-0.244659,0.873481
AMAT,Information Technology,0.416312,-0.541349,1.782523
AMCR,Materials,0.232485,-0.345969,0.643404
AMD,Information Technology,0.515971,-0.673033,2.070361
AME,Industrials,0.212097,-0.238013,0.817733
AMGN,Health Care,0.242264,-0.255635,0.474729
AMP,Financials,0.25467,-0.275606,1.139657
AMT,Real Estate,0.261599,-0.327519,0.344282
AMZN,Consumer Discretionary,0.330355,-0.324574,1.491953
ANET,Information Technology,0.480751,-0.542682,1.695388
AON,Financials,0.206637,-0.215185,0.453085
AOS,Industrials,0.258814,-0.358701,0.782838
APA,Energy,0.441084,-0.75196,1.283098
APD,Materials,0.263588,-0.351507,0.725166
APH,Information Technology,0.278804,-0.264854,1.265513
APO,Financials,0.361193,-0.412875,1.615793
APP,Information Technology,0.740874,-0.624203,2.339026
APTV,Consumer Discretionary,0.366903,-0.665956,1.282311
ARE,Real Estate,0.337989,-0.682176,0.990424
ARM,Unknown,0.727986,-0.615252,2.627867
ASML,Unknown,0.401881,-0.503537,1.678344
ATO,Utilities,0.178033,-0.171355,0.34062
AVB,Real Estate,0.218263,-0.261826,0.729127
AVGO,Information Technology,0.458914,-0.447383,1.848762
AVY,Materials,0.225544,-0.319423,0.7651
AWK,Utilities,0.22322,-0.297095,0.205669
AXON,Industrials,0.445912,-0.336474,0.991397
AXP,Financials,0.274102,-0.298067,1.214767
AZN,Unknown,0.229878,-0.284274,0.375244
AZO,Consumer Discretionary,0.212864,-0.181813,0.321272
BA,Industrials,0.333692,-0.526716,1.046071
BAC,Financials,0.25977,-0.347223,1.008161
BALL,Materials,0.280245,-0.375463,0.77012
BAX,Health Care,0.35922,-0.714431,0.749153
BBY,Consumer Discretionary,0.361392,-0.47496,1.195419
BDX,Health Care,0.240758,-0.436531,0.515757
BEN,Financials,0.307618,-0.496272,1.18437
BF-B,Consumer Staples,0.304922,-0.680004,0.58378
BG,Consumer Staples,0.288606,-0.406391,0.480988
BIIB,Health Care,0.269095,-0.665971,0.655051
BK,Financials,0.224224,-0.239173,0.885718
BKNG,Consumer Discretionary,0.267214,-0.22463,0.988902
BKR,Energy,0.30795,-0.296331,1.00496
BLDR,Industrials,0.444994,-0.561499,1.354624
BLK,Financials,0.241134,-0.246695,1.127019
BMY,Health Care,0.254037,-0.494126,0.273871
BR,Industrials,0.207572,-0.175663,0.733743
BRK-B,Financials,0.161503,-0.154312,0.609813
BRO,Financials,0.2204,-0.389472,0.553106
BSX,Health Care,0.204432,-0.163462,0.627875
BX,Financials,0.363026,-0.417895,1.668671
BXP,Real Estate,0.359027,-0.404987,1.174239
C,Financials,0.28344,-0.326693,1.192386
CAG,Consumer Staples,0.220615,-0.547116,0.119437
CAH,Health Care,0.234584,-0.187628,0.294021
CARR,Industrials,0.311772,-0.35063,1.193485
