Ticker,Sector,Industry,Profit Margin,Operating Margin (ttm),Return on Assets(ROA) (ttm),Return on Equity(ROE) (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm)
AAPL,Technology,Consumer Electronics,0.27152002,0.32275,0.26229,1.4147099,451442016256,30.534,0.166,216070995968,159975997440,122575003648.0,8.25,0.218,68507000832,4.664,84710998016,79.548,1.07,7.26,140222005248.0,101090746368.0
ABNB,Consumer Cyclical,Travel Services,0.19902,0.03211,0.06245,0.32325,12647000064,20.827,0.179,10485999616,2619000064,2516999936.0,4.05,0.06,12005000192,20.227,2534000128,33.185,1.442,12.834,4565000192.0,3191000064.0
ADBE,Technology,Software - Application,0.29477,0.38762,0.18905,0.58774,24452999168,58.263,0.12,21859999744,9516000256,7208000000.0,17.17,0.111,6898999808,17.068,6670000128,58.34,0.912,28.16,10506999808.0,9321374720.0
ADI,Technology,Semiconductors,0.23024,0.33067,0.0454,0.07862,11756795904,23.868,0.304,7388150784,5459077120,2706852096.0,5.46,1.167,4048847104,8.293,8701080576,25.753,1.756,69.207,5053907968.0,4139530752.0
ADP,Technology,Software - Application,0.20118,0.30184,0.05949,0.71208,21600399360,53.453,0.07,10475499520,6339899904,4345600000.0,10.71,0.105,3228400128,8.076,4398000128,69.259,1.043,15.851,5452400128.0,4749387264.0
ADSK,Technology,Software - Application,0.15597999,0.27236,0.096999995,0.39675,7206000128,33.831,0.194,6653000192,1906000000,1124000000.0,5.24,0.063,2596999936,12.308,2734000128,89.787,0.851,14.363,2452000000.0,2787000064.0
AEP,Utilities,Utilities - Regulated Electric,0.16289,0.23738001,0.031689998,0.12585,22432999424,41.797,0.102,10597999616,9141000192,3654000128.0,6.76,0.067,516000000,0.948,51808002048,157.099,0.526,58.473,7013000192.0,-6953449984.0
ALNY,Healthcare,Biotechnology,0.12550001,0.23016001,0.10062,0.90356004,4286923008,32.524,0.964,3464971008,806942976,537988992.0,3.97,,3009222912,22.539,2970230016,276.203,3.127,8.059,714896000.0,204714128.0
AMAT,Technology,Semiconductor Equipment & Materials,0.27784002,0.29892,0.14849,0.38863,28213999616,35.323,-0.021,13747000320,8888999936,7839000064.0,9.75,0.752,8511000064,10.724,7190000128,33.108,2.715,27.365,8718999552.0,4341749760.0
AMD,Technology,Semiconductors,0.13374,0.14396,0.03647,0.08063,37454000128,23.024,0.378,19872999424,7430000128,4931999744.0,3.0,0.912,12346999808,7.572,3871000064,6.005,2.725,39.547,9724999680.0,7173374976.0
AMGN,Healthcare,Drug Manufacturers - General,0.20955999,0.33800998,0.08347999,1.01318,37219999744,69.118,0.058,26591000576,16917999616,7800000000.0,14.36,0.044,12037999616,22.305,57322999808,623.754,1.261,17.028,10755999744.0,7436624896.0
AMZN,Consumer Cyclical,Internet Retail,0.12224,0.1314,0.06845,0.24285,742775980032,69.477,0.166,375875010560,155860992000,90797998080.0,8.35,0.748,143088992256,13.302,235540004864,53.3,1.177,41.093,148531003392.0,9806624768.0
APP,Communication Services,Advertising Agencies,0.6429,0.78151,0.44236,2.66444,6164192256,18.228,0.59,5447099904,4872055808,3914972928.0,11.48,1.131,2758671104,8.212,3849840128,162.888,3.244,7.028,4439283200.0,3180097280.0
